blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate
7263 039,3901 FAIRHAVEN AVE,CURTIS BAY,10,SOUTHERN,"(39.229657179900002, -76.590166026700004)",09/18/2013
2183 018,333 STINSON ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2834436829, -76.658398858799998)",09/19/2008
7643 068,2820 BOOKERT DR,CHERRY HILL,10,SOUTHERN,"(39.247104268400001, -76.627285348699999)",02/15/2013
0149 051,324 N BRUCE ST,FRANKLIN SQUARE,9,WESTERN,"(39.292601879899998, -76.644865796000005)",11/09/2005
0129 025,950 W FRANKLIN ST,HARLEM PARK,9,WESTERN,"(39.294557709599999, -76.633702527599993)",02/26/2010
0275 105,1822 WILHELM ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2838263027, -76.645871878799994)",01/24/2008
1132 005,1108 E HOFFMAN ST,OLIVER,12,EASTERN,"(39.306289298000003, -76.602778345000004)",04/02/2012
0214 012,1423 W BALTIMORE ST,FRANKLIN SQUARE,9,WESTERN,"(39.288195198700002, -76.640398211100006)",07/01/2012
4166 063,1652 NORMAL AVE,DARLEY PARK,14,EASTERN,"(39.315812062699997, -76.594163108299995)",12/01/2010
0411 059,726 DOLPHIN ST,UPTON,11,CENTRAL,"(39.297800623000001, -76.632361662999998)",11/08/2004
0087 062,802 N STRICKER ST,HARLEM PARK,9,WESTERN,"(39.298126079799999, -76.641776120100005)",12/06/2011
8243 031,4804 HADDON AVE,HOWARD PARK,5,NORTHWESTERN,"(39.333992702700002, -76.696706054700002)",05/03/2013
1591 014,2426 E EAGER ST,MILTON-MONTFORD,13,EASTERN,"(39.301992147, -76.583247447000005)",11/20/2007
0117 027,2105 EDMONDSON AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.294832532100003, -76.650674626500006)",11/20/2009
2380 014,2826 RAYNER AVE,MOSHER,9,WESTERN,"(39.296542468299997, -76.663613975999993)",04/29/2010
0120 029,1813 EDMONDSON AVE,HARLEM PARK,9,WESTERN,"(39.294947842799999, -76.646426057200003)",03/19/2007
0128 063,518 N SCHROEDER ST,HARLEM PARK,9,WESTERN,"(39.295069834099998, -76.634365413699996)",11/13/2007
0289 031,413 S SMALLWOOD ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.282603570399999, -76.650896516700001)",06/03/2013
1132 023,1432 AISQUITH ST,OLIVER,12,EASTERN,"(39.306792822299997, -76.602577711199999)",08/02/2011
0050 018,1134 N FULTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.301663259500003, -76.646271429600006)",10/08/2008
1466 015,1629 N BROADWAY,BROADWAY EAST,12,EASTERN,"(39.309270439000002, -76.594561511699993)",05/11/2011
0964 002,4 W OSTEND ST,FEDERAL HILL,11,SOUTHERN,"(39.274906141000002, -76.614674795599996)",09/26/2013
1485 013,2425 E FEDERAL ST,BROADWAY EAST,13,EASTERN,"(39.3086697663, -76.583509528899995)",08/02/2007
0361 038,1525 PENNSYLVANIA AVE,UPTON,11,CENTRAL,"(39.302547595599997, -76.633013413499995)",03/03/2010
3165 019,2901 SPRINGHILL AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3305100217, -76.663544111700006)",06/21/2010
0175 098,2112 W FAYETTE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.289539249100002, -76.650577359300001)",07/13/2007
0299 020,1339 W NORTH AVE,DRUID HEIGHTS,7,CENTRAL,"(39.310021695499998, -76.639403352200006)",05/03/2010
2218 009,402 N FRANKLINTOWN ROAD,PENROSE/FAYETTE STREET OUTREACH,9,SOUTHWESTERN,"(39.292833461800001, -76.662492586599996)",01/24/2013
4163A002,1603 DARLEY AVE,DARLEY PARK,12,EASTERN,"(39.314622889900001, -76.596328805200002)",06/25/2013
7027C015,44 W TALBOTT ST,BROOKLYN,10,SOUTHERN,"(39.2368313399, -76.612809560800002)",09/19/2013
1570 066,2240 PRENTISS PL,MIDDLE EAST,13,EASTERN,"(39.303136685299997, -76.585906255799998)",12/08/2008
3228A025,2205 LYNNBROOK AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.314482743200003, -76.647006731399998)",04/02/2008
6158 017,433 N CLINTON ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.296719261299998, -76.570388233700001)",03/06/2012
0337 048,614 PITCHER ST,UPTON,11,CENTRAL,"(39.302835245499999, -76.634799988899999)",10/13/2011
0711 011,1802 EAGLE ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.281211044199999, -76.644964330799993)",11/16/2012
4007 010,1248 E NORTH AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.312086897900002, -76.601065115899999)",07/21/2010
0699 036,411 S PAYSON ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.282629084200003, -76.648051789899995)",12/23/2009
0007 040,1700 APPLETON ST,EASTERWOOD,7,WESTERN,"(39.307929814399998, -76.649178809800006)",07/03/2013
8294A013,3506 PLATEAU AVE,HOWARD PARK,8,NORTHWESTERN,"(39.332109709400001, -76.700190908500005)",02/18/2010
0050 059,1134 MCKEAN AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.301904852600003, -76.647122361399994)",06/12/2006
5789 002,3502 ECHODALE AVE,WALTHERSON,3,NORTHEASTERN,"(39.3454509671, -76.558009908900004)",07/07/2011
1103 047,316 E LANVALE ST,GREENMOUNT WEST,12,EASTERN,"(39.309152870399998, -76.611301260600001)",04/12/2006
4132 014,1544 CARSWELL ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.322968223499998, -76.595622549599994)",07/14/2008
1587 030,2007 E EAGER ST,MIDDLE EAST,13,EASTERN,"(39.301892899899997, -76.589312112800002)",08/20/2012
4595 007,3710 OAKMONT AVE,LANGSTON HUGHES,6,NORTHWESTERN,"(39.342885775200003, -76.677665768799997)",06/26/2013
1458 058,1910 E LANVALE ST,BROADWAY EAST,12,EASTERN,"(39.309918996699999, -76.591195963499999)",04/12/2012
7116 030,3909 8TH ST,BROOKLYN,10,SOUTHERN,"(39.2321391284, -76.601130444999995)",12/03/2012
0265 008,1315 W PRATT ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2853363097, -76.638459777799994)",02/05/2013
1463 088,1726 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.310505407699999, -76.585285109200001)",06/04/2010
1099B104,1814 AIKEN ST,OLIVER,12,EASTERN,"(39.3110429559, -76.601051128500004)",12/14/2010
2183A011,300 STINSON ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.283669025400002, -76.659333805200006)",02/09/2007
2137 039,532 BRUNSWICK ST,MILLHILL,10,SOUTHWESTERN,"(39.278515894599998, -76.659197270600004)",02/22/2010
5783 021A,5502 REMMELL AVE,WALTHERSON,2,NORTHEASTERN,"(39.343814692199999, -76.551192920000005)",07/28/2010
0002 018,1907 W NORTH AVE,EASTERWOOD,7,WESTERN,"(39.309528583000002, -76.648437510600004)",05/13/2009
6771C017,1122 STEELTON AVE,GRACELAND PARK,1,SOUTHEASTERN,"(39.280735809100001, -76.536562942499998)",12/10/2012
0412 008,1214 ARGYLE AVE,UPTON,11,CENTRAL,"(39.298990392699999, -76.631202589300003)",03/24/2006
0314 017,2032 DRUID HILL AVE,DRUID HEIGHTS,11,CENTRAL,"(39.3079189611, -76.636272653399999)",10/08/2008
3935 055,2781 THE ALAMEDA,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.322961300899998, -76.592292954900003)",06/04/2013
1152 022,432 E BIDDLE ST,JOHNSTON SQUARE,12,EASTERN,"(39.303889168700003, -76.6095549586)",06/09/2010
8209 013,4209 ELDERON AVE,WEST ARLINGTON,6,NORTHWESTERN,"(39.341488282100002, -76.690263842600004)",12/07/2012
0309 016,2128 MCCULLOH ST,DRUID HEIGHTS,7,CENTRAL,"(39.3092216999, -76.636497318300002)",04/05/2006
1103 070,1709 LATROBE ST,GREENMOUNT WEST,12,EASTERN,"(39.309447020599997, -76.611382564400003)",07/07/2010
3413 026,2450 DRUID HILL AVE,PENN NORTH,7,WESTERN,"(39.3122809133, -76.640502226799995)",04/12/2006
0106 039,2045 HARLEM AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.296085027899998, -76.650361591500001)",12/07/2009
0276 038,355 S FULTON AVE,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.283307149599999, -76.644686857099998)",02/05/2008
1449 068,1806 N CHESTER ST,BROADWAY EAST,12,EASTERN,"(39.311117733899998, -76.588862247700007)",02/12/2008
1277 031,560 OLDTOWN MALL,OLDTOWN,12,EASTERN,"(39.297303006699998, -76.602919569700006)",08/23/2010
1519 062,1311 N PATTERSON PARK AVE,BROADWAY EAST,13,EASTERN,"(39.306024061899997, -76.585324893399999)",06/21/2007
0702 052,2109 WILKENS AVE,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.280870445700003, -76.649337745400004)",07/17/2010
1111 024,446 E FEDERAL ST,GREENMOUNT WEST,12,EASTERN,"(39.308127936600002, -76.609491737699997)",04/06/2011
1693 023,2703 ORLEANS ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.295570642199998, -76.578782371900004)",08/23/2013
1109 058,1740 N BROADWAY,OLIVER,12,EASTERN,"(39.310516645, -76.595408498200001)",05/23/2006
1590 020,939 N PATTERSON PARK AVE,MILTON-MONTFORD,13,EASTERN,"(39.301700025300001, -76.585057375700003)",07/17/2007
2950 008,3711 W COLD SPRING LANE,CALLAWAY-GARRISON,6,NORTHWESTERN,"(39.335130055299999, -76.677427532699994)",06/07/2011
1629 018H,718 N CURLEY ST,MADISON-EASTEND,13,EASTERN,"(39.299716441299999, -76.576167963000003)",10/07/2011
1164A020,1205 N BOND ST,OLIVER,12,EASTERN,"(39.304401538400001, -76.596300126499997)",09/28/2012
0328 057,1809 DIVISION ST,DRUID HEIGHTS,11,CENTRAL,"(39.305497676999998, -76.634597860699998)",12/31/2009
1453 028,1800 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.311381089199998, -76.584742886599997)",11/24/2009
1152 014,416 E BIDDLE ST,JOHNSTON SQUARE,12,EASTERN,"(39.303870273999998, -76.610011046599993)",09/28/2012
0095 003,704 N MONROE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.296811458400001, -76.647653668399997)",09/03/2009
3175A018,3910 REISTERSTOWN ROAD,TOWANDA-GRANTLEY,6,NORTHWESTERN,"(39.332812561200001, -76.6636751713)",01/24/2011
0328 071,520 LAURENS ST,DRUID HEIGHTS,11,CENTRAL,"(39.305583698299998, -76.634173775600004)",12/31/2009
0065 069,1028 N STOCKTON ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300724301300001, -76.638217062099997)",09/04/2008
2530A084,315 MARYDELL ROAD,IRVINGTON,8,SOUTHWESTERN,"(39.281043584300001, -76.6893152671)",12/14/2010
1637 002,610 N COLLINGTON AVE,CARE,13,EASTERN,"(39.298143867699999, -76.586829826799999)",03/12/2010
0780 141,1119 WARD ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.281905421700003, -76.6324419659)",12/07/2004
0232 050,28 S CAREY ST,UNION SQUARE,9,SOUTHERN,"(39.287171885799999, -76.638323123899994)",11/13/2007
0066 028,1019 N CARROLLTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300825779900002, -76.637149812199993)",04/21/2008
7796 032,1725 WILMINGTON AVE,MORRELL PARK,10,SOUTHWESTERN,"(39.266434692399997, -76.655181710799994)",02/22/2012
0275 110,1832 WILHELM ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.283817511800002, -76.646080670200007)",03/21/2006
0119 089,1947 LAURETTA AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2942535026, -76.6488604364)",12/08/2011
1691 091,244 N ROSE ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.295496858200003, -76.581558145599999)",09/05/2006
4004 041,1905 CECIL AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.312190730200001, -76.604887940099999)",11/15/2006
2306A017,1742 MORELAND AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.308311297499998, -76.656128193300006)",05/11/2012
4154 040B,2882 MAYFIELD AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.322466232300002, -76.572775148299996)",08/22/2013
5165B029,5223 READY AVE,WOODBOURNE-MCCABE,4,NORTHERN,"(39.353614916200002, -76.607664527200001)",02/08/2007
1155 013,1231 GREENMOUNT AVE,JOHNSTON SQUARE,12,EASTERN,"(39.304476330999996, -76.607831949499996)",11/05/2004
4024 017,735 E 23RD ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.315773839099997, -76.607413037699999)",05/30/2012
0778 049,1216 S CAREY ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.2800093938, -76.634906132799998)",01/28/2013
0059 019,1801 RIGGS AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300741331099999, -76.646470621800006)",04/17/2009
1587 115,924 N CASTLE ST,MIDDLE EAST,13,EASTERN,"(39.301437276000001, -76.589114309999999)",09/06/2005
0205 002,2103 W BALTIMORE ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.287816087000003, -76.650240975700001)",06/13/2013
2481 003,804 N FRANKLINTOWN ROAD,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.295840013700001, -76.665912206499996)",10/03/2006
0225 005,1807 HOLLINS ST,FRANKLIN SQUARE,9,SOUTHERN,"(39.2870314623, -76.646616573900005)",12/20/2007
3301 039,4664 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3437382089, -76.670438291500005)",11/16/2007
0393 043,1327 MYRTLE AVE,UPTON,11,CENTRAL,"(39.299574179899999, -76.632802296600005)",04/27/2007
1536 015,1222 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.305431249400002, -76.584370891099994)",03/29/2012
1604 073,801 N CASTLE ST,MIDDLE EAST,13,EASTERN,"(39.2998112521, -76.588587042599997)",03/08/2011
1590 035,2330 E EAGER ST,MILTON-MONTFORD,13,EASTERN,"(39.301974395199998, -76.584061997999996)",01/28/2009
0118 087,533 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.294596808000001, -76.649555397599997)",11/17/2008
3826 061,2422 BRENTWOOD AVE,BARCLAY,12,EASTERN,"(39.316748697599998, -76.610654935100001)",11/20/2009
3061B015,2607 N HILTON ST,HANLON-LONGWOOD,7,NORTHWESTERN,"(39.316623733199997, -76.672525579899997)",02/28/2008
1485 056,1513 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.308462712400001, -76.584055853799995)",04/14/2008
1468 043,1624 N WASHINGTON ST,BROADWAY EAST,12,EASTERN,"(39.309252218700003, -76.590492095599998)",09/28/2012
0239 034,216 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.284264784000001, -76.652188186499998)",06/05/2008
0430 041,824 HARLEM AVE,UPTON,11,CENTRAL,"(39.297170741400002, -76.631592151700005)",11/11/2004
0364 010,1518 MADISON AVE,MADISON PARK,11,CENTRAL,"(39.305025338100002, -76.629803943100001)",11/27/2012
4171 156,1925 N COLLINGTON AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.313296657099997, -76.587307314399993)",11/01/2006
4175 009,1955 N PATTERSON PARK AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.313900201899997, -76.585879945200006)",12/11/2007
1555 005,1108 N MILTON AVE,BIDDLE STREET,13,EASTERN,"(39.304159148099998, -76.582893619000004)",06/09/2011
0123 038,523 N GILMOR ST,HARLEM PARK,9,WESTERN,"(39.294638999500002, -76.642424097100005)",06/22/2012
0108 010,618 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.295703102200001, -76.645901619499995)",07/21/2011
2752 018,3032 CHELSEA TERR,CONCERNED CITIZENS OF FOREST PARK,6,NORTHWESTERN,"(39.322437487099997, -76.682787545799997)",04/05/2007
1463 027,2309 E LAFAYETTE AVE,BROADWAY EAST,13,EASTERN,"(39.310852990900003, -76.5850548178)",05/14/2009
2419 034,1613 N LONGWOOD ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.306625595200003, -76.667136895900001)",01/21/2011
2452 059,3034 PRESSTMAN ST,ROSEMONT,9,SOUTHWESTERN,"(39.304684198300002, -76.668754016899996)",06/22/2011
0094 086,2013 W LANVALE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.297284361099997, -76.649617428699997)",06/07/2008
0055C064,1102 N CARROLLTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.301353196999997, -76.637680208199995)",03/14/2012
0196 041,1512 W BALTIMORE ST,FRANKLIN SQUARE,9,WESTERN,"(39.288594263199997, -76.641489273800005)",09/04/2013
0092 029,1024 W LANVALE ST,HARLEM PARK,9,WESTERN,"(39.2982190699, -76.634978818899995)",04/26/2010
1102 059,1641 E NORTH AVE,OLIVER,12,EASTERN,"(39.311789189499997, -76.595697171799998)",07/09/2007
4130 018,1659 ABBOTSTON ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.322012431600001, -76.593468847300002)",06/05/2008
3404 061,2603 PENNSYLVANIA AVE,PENN NORTH,7,WESTERN,"(39.3115715498, -76.643927927999997)",12/16/2009
1143 061,1309 HILLMAN ST,JOHNSTON SQUARE,12,EASTERN,"(39.305420815399998, -76.605710154099995)",04/08/2008
1642 044,2627 E MONUMENT ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.298745830800001, -76.579979012699994)",03/08/2013
0096 092,1816 RAYNER AVE,HARLEM PARK,9,WESTERN,"(39.297151164100001, -76.646803078999994)",04/10/2008
3414 012,1334 W NORTH AVE,PENN NORTH,7,WESTERN,"(39.310480263700001, -76.639268959099994)",11/17/2009
4167 041,1923 N CASTLE ST,SOUTH CLIFTON PARK,12,EASTERN,"(39.313119412299997, -76.589378162000003)",07/05/2013
0265 069,214 S CAREY ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.285026544700003, -76.638189203400003)",08/11/2011
1640 013,624 N MILTON AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.298245407400003, -76.582500102200001)",12/21/2010
0118 100,516 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.294323532600004, -76.649903765000005)",06/14/2013
0076 014,927 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299653365099999, -76.641278189999994)",08/01/2012
2243B041,148 PALORMO AVE,SAINT JOSEPHS,8,SOUTHWESTERN,"(39.283390662599999, -76.675429640499999)",04/20/2012
1477 083,1506 N REGESTER ST,BROADWAY EAST,12,EASTERN,"(39.307915202099998, -76.594056349799999)",01/15/2009
4622 017,4719 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.344766709799998, -76.670357094099998)",06/11/2010
1157 032,1220 ENSOR ST,JOHNSTON SQUARE,12,EASTERN,"(39.304601914899997, -76.603860061199995)",12/12/2007
3443 010,720 LENNOX ST,RESERVOIR HILL,7,CENTRAL,"(39.312051657200001, -76.628903431400005)",06/06/2013
1127 044,1530 N BROADWAY,OLIVER,12,EASTERN,"(39.308125084700002, -76.595267237599998)",10/20/2009
0275 108,1828 WILHELM ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.283820926600001, -76.645999669299997)",07/25/2013
1687 055,206 N DUNCAN ST,CARE,13,SOUTHEASTERN,"(39.294632591599999, -76.587123133000006)",01/06/2011
3003 009,3016 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,"(39.3093138395, -76.668147305000005)",04/13/2006
0248 041,1304 W PRATT ST,UNION SQUARE,9,SOUTHERN,"(39.285802967499997, -76.638350319899999)",07/19/2010
0129 009,918 W FRANKLIN ST,HARLEM PARK,9,WESTERN,"(39.294597135300002, -76.632794007399994)",10/17/2012
0010 037,1614 PRESBURY ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.308148910600003, -76.644541307899999)",03/08/2012
6042O012,4802 FRANKFORD AVE,FRANKFORD,2,NORTHEASTERN,"(39.332398242799997, -76.544835221499994)",11/09/2012
8298 009,4402 MAINE AVE,HOWARD PARK,8,NORTHWESTERN,"(39.329307715500001, -76.692184268399998)",04/18/2011
0118 114,2002 W FRANKLIN ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2939194442, -76.6494776479)",12/08/2010
3210 009,1916 WALBROOK AVE,MONDAWMIN,7,WESTERN,"(39.311041186700002, -76.648796418100005)",07/20/2007
4092 001,900 E 30TH ST,BETTER WAVERLY,14,NORTHERN,"(39.3237507009, -76.605083035500002)",04/12/2013
5165 013,702 BEAUMONT AVE,WINSTON-GOVANS,4,NORTHERN,"(39.351645239299998, -76.606158203700005)",12/21/2011
1126 025,1507 E FEDERAL ST,OLIVER,12,EASTERN,"(39.3082409477, -76.597572724800003)",10/17/2007
0007 042,1704 APPLETON ST,EASTERWOOD,7,WESTERN,"(39.308009290599998, -76.649182122300004)",03/15/2011
1529 030,1757 E PRESTON ST,BROADWAY EAST,12,EASTERN,"(39.305255186899998, -76.592935603200004)",11/03/2010
0247 031,1410 W PRATT ST,UNION SQUARE,9,SOUTHERN,"(39.285673171399999, -76.639919874900002)",11/15/2011
1570 010,2219 E CHASE ST,MIDDLE EAST,13,EASTERN,"(39.3033490925, -76.586356213100004)",03/03/2011
4580 013,3339 W BELVEDERE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.347473425300002, -76.677708414400001)",04/22/2013
1127 061,1624 E OLIVER ST,OLIVER,12,EASTERN,"(39.307624220900003, -76.595629781300005)",01/21/2010
0164 045,208 N MOUNT ST,FRANKLIN SQUARE,9,WESTERN,"(39.291161792700002, -76.644220127300002)",02/08/2011
0281 031,347 S CALHOUN ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.283584289300002, -76.639025153000006)",11/23/2011
5545 042,3103 ROSALIE AVE,NORTH HARFORD ROAD,3,NORTHEASTERN,"(39.367078835000001, -76.545823018600004)",12/29/2008
3805 032,2013 BARCLAY ST,BARCLAY,12,EASTERN,"(39.313047329, -76.610752051299997)",03/25/2011
4039 008,538 E 22ND ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.314784984299997, -76.608372084600006)",08/12/2005
2145B043,2500 ASHTON ST,MILLHILL,9,SOUTHWESTERN,"(39.280741682799999, -76.655518178500003)",09/01/2011
0791 124,1187 CLEVELAND ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.2804435531, -76.632112519000003)",09/19/2008
0626 036,21 N FREMONT AVE,POPPLETON,11,WESTERN,"(39.289630361599997, -76.628995719599999)",11/23/2012
4167 020,2040 E NORTH AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.312640796899998, -76.588895823000001)",12/01/2011
3212 079,2127 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,"(39.311125065399999, -76.652369990300002)",04/02/2012
1568 005,1009 N WASHINGTON ST,MIDDLE EAST,13,EASTERN,"(39.302577276999997, -76.589588295300004)",08/20/2013
3069 004,3308 ALTO ROAD,HANLON-LONGWOOD,7,NORTHWESTERN,"(39.317622497999999, -76.673856600199997)",07/30/2009
3263 019,2523 LIBERTY HEIGHTS AVE,BURLEITH-LEIGHTON,7,NORTHWESTERN,"(39.3197541372, -76.658109937700004)",01/12/2011
3327C031,3409 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.326442695600001, -76.657266974799995)",11/19/2010
2718 022,4027 BOARMAN AVE,DORCHESTER,6,NORTHWESTERN,"(39.333917451600001, -76.685570577199996)",09/01/2005
4616 056,3111 OAKLEY AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.346714905299997, -76.671825453500006)",05/28/2010
0121 067,1704 W FRANKLIN ST,HARLEM PARK,9,WESTERN,"(39.294132160300002, -76.644335146499998)",08/15/2012
3205 068,2133 HERBERT ST,MONDAWMIN,7,WESTERN,"(39.310095719300001, -76.652457733399999)",08/31/2007
0074 019,1607 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299770647099997, -76.643585901899996)",07/24/2012
4132 003,1518 CARSWELL ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3233156955, -76.596176069199998)",07/03/2008
0121 068,1702 W FRANKLIN ST,HARLEM PARK,9,WESTERN,"(39.294133928900003, -76.644289745500004)",07/13/2009
0328 090,1818 ETTING ST,DRUID HEIGHTS,11,CENTRAL,"(39.305854900600004, -76.634600605800003)",02/10/2011
0581 013,336 SAINT PAUL PL,DOWNTOWN,11,CENTRAL,"(39.294057135400003, -76.614483810799996)",12/05/2011
0007 055,1730 APPLETON ST,EASTERWOOD,7,WESTERN,"(39.308489885900002, -76.649207467699995)",01/08/2008
0066 002,1104 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300463427799997, -76.636185237899994)",08/27/2010
0098 033,1603 W LANVALE ST,HARLEM PARK,9,WESTERN,"(39.297517325299999, -76.643060718599997)",09/13/2006
3232 020,2920 AUCHENTOROLY TERR,PARKVIEW/WOODBROOK,7,WESTERN,"(39.3162417936, -76.6458525842)",05/10/2006
4527 040,5301 DENMORE AVE,ARLINGTON,5,NORTHWESTERN,"(39.349547660799999, -76.680253975100001)",02/29/2012
4137 002,1502 ABBOTSTON ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.324026429299998, -76.595902007299998)",01/12/2005
6422 030,508 S CLINTON ST,CANTON,1,SOUTHEASTERN,"(39.285872965999999, -76.570151065900006)",07/31/2013
0260 114,1806 DOVER ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.284854378600002, -76.645538389500004)",04/05/2006
0414 048,1342 DIVISION ST,UPTON,11,CENTRAL,"(39.301667363900002, -76.6306010773)",12/24/2007
1552 001,2101 E BIDDLE ST,MIDDLE EAST,13,EASTERN,"(39.304037989199998, -76.587586214699996)",07/02/2007
0280 050,333 S STRICKER ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.283769396700002, -76.640418739200001)",07/27/2012
0180 040,1614 W FAYETTE ST,FRANKLIN SQUARE,9,WESTERN,"(39.289832365000002, -76.643034)",11/16/2007
1531 013,1824 E BIDDLE ST,BROADWAY EAST,12,EASTERN,"(39.304599125000003, -76.591835920500003)",06/23/2011
1671 078,417 N BRADFORD ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.296152055699999, -76.584095945200005)",10/03/2013
3209 062,1810 WALBROOK AVE,MONDAWMIN,7,WESTERN,"(39.311109543299999, -76.6472651407)",04/03/2012
1458 051,1924 E LANVALE ST,BROADWAY EAST,12,EASTERN,"(39.309937984000001, -76.590768023799995)",02/24/2009
1132 039,1423 HOLBROOK ST,OLIVER,12,EASTERN,"(39.306812823199998, -76.602881339500001)",01/06/2010
